Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,noArguments,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,noArguments,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.GCViewerArgsParser.getType; com.tagtraum.perf.gcviewer.GCViewerArgsParser.getArgumentCount; com.tagtraum.perf.gcviewer.GCViewerArgsParser.parseArguments
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,onlyGCLog,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,onlyGCLog,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.GCViewerArgsParser.getType; com.tagtraum.perf.gcviewer.GCViewerArgsParser.getArgumentCount; com.tagtraum.perf.gcviewer.GCViewerArgsParser.getGcResource; com.tagtraum.perf.gcviewer.GCViewerArgsParser.parseArguments
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,onlyGcLogSeries,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,onlyGcLogSeries,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.GCViewerArgsParser.getType; com.tagtraum.perf.gcviewer.GCViewerArgsParser.getArgumentCount; com.tagtraum.perf.gcviewer.GCViewerArgsParser.getGcResource; com.tagtraum.perf.gcviewer.GCViewerArgsParser.parseArguments
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,gcAndExportFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,gcAndExportFile,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.GCViewerArgsParser.getType; com.tagtraum.perf.gcviewer.GCViewerArgsParser.getSummaryFilePath; com.tagtraum.perf.gcviewer.GCViewerArgsParser.getArgumentCount; com.tagtraum.perf.gcviewer.GCViewerArgsParser.getGcResource; com.tagtraum.perf.gcviewer.GCViewerArgsParser.parseArguments
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,gcSeriesAndExportFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,gcSeriesAndExportFile,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.GCViewerArgsParser.getType; com.tagtraum.perf.gcviewer.GCViewerArgsParser.getSummaryFilePath; com.tagtraum.perf.gcviewer.GCViewerArgsParser.getArgumentCount; com.tagtraum.perf.gcviewer.GCViewerArgsParser.getGcResource; com.tagtraum.perf.gcviewer.GCViewerArgsParser.parseArguments
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,onlyType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,onlyType,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.GCViewerArgsParser.getType; com.tagtraum.perf.gcviewer.GCViewerArgsParser.getArgumentCount; com.tagtraum.perf.gcviewer.GCViewerArgsParser.parseArguments
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,allInitialArgsWithType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,allInitialArgsWithType,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.GCViewerArgsParser.getType; com.tagtraum.perf.gcviewer.GCViewerArgsParser.getSummaryFilePath; com.tagtraum.perf.gcviewer.GCViewerArgsParser.getChartFilePath; com.tagtraum.perf.gcviewer.GCViewerArgsParser.getArgumentCount; com.tagtraum.perf.gcviewer.GCViewerArgsParser.getGcResource; com.tagtraum.perf.gcviewer.GCViewerArgsParser.parseArguments
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,illegalType,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GCViewer,com.tagtraum.perf.gcviewer,TestGCViewerArgsParser,illegalType,Exceptional handling,The tool detected the smell in this test method because the test uses try-catch block to assert/fail a check.
GCViewer,com.tagtraum.perf.gcviewer,TestBuildInfoReader,readVersion,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GCViewer,com.tagtraum.perf.gcviewer,TestBuildInfoReader,readBuildDate,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseAllocationFailure,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 13
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseAllocationFailure,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.GCModel.getFullGcEventPauses; com.tagtraum.perf.gcviewer.math.DoubleData.getSum; com.tagtraum.perf.gcviewer.model.GCModel.getConcurrentEventPauses; com.tagtraum.perf.gcviewer.model.GCModel.getFullGCPause; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPreUsed; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTimestamp; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTotal; com.tagtraum.perf.gcviewer.model.GCModel.size; com.tagtraum.perf.gcviewer.model.GCModel.getGCPause; com.tagtraum.perf.gcviewer.model.GCModel.getGcEventPauses; com.tagtraum.perf.gcviewer.model.GCModel.getPause; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.GCModel.get; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getGeneration; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPostUsed
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parsePassiveHeuristics,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parsePassiveHeuristics,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.GCModel.getVmOperationPause; com.tagtraum.perf.gcviewer.model.GCModel.size; com.tagtraum.perf.gcviewer.model.GCModel.getFullGcEventPauses; com.tagtraum.perf.gcviewer.model.GCModel.getGcEventPauses; com.tagtraum.perf.gcviewer.math.DoubleData.getN; com.tagtraum.perf.gcviewer.model.GCModel.getConcurrentEventPauses
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseSingleSystemGCEvent,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 12
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseSingleSystemGCEvent,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.GCModel.getFullGcEventPauses; com.tagtraum.perf.gcviewer.math.DoubleData.getN; com.tagtraum.perf.gcviewer.model.GCModel.getConcurrentEventPauses; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPreUsed; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTimestamp; com.tagtraum.perf.gcviewer.model.GCModel.getVmOperationPause; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTotal; com.tagtraum.perf.gcviewer.model.GCModel.size; com.tagtraum.perf.gcviewer.model.GCModel.getGcEventPauses; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.GCModel.get; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getGeneration; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.isSystem; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPostUsed
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseSeveralSystemGCEvents,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 11
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseSeveralSystemGCEvents,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.GCModel.getFullGcEventPauses; com.tagtraum.perf.gcviewer.model.GCModel.getConcurrentEventPauses; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPreUsed; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTimestamp; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTotal; com.tagtraum.perf.gcviewer.model.GCModel.size; com.tagtraum.perf.gcviewer.model.GCModel.getGcEventPauses; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.GCModel.get; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getGeneration; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.isSystem; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPostUsed
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseJdk11,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseJdk11,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.GCModel.getVmOperationPause; com.tagtraum.perf.gcviewer.model.GCModel.size; com.tagtraum.perf.gcviewer.model.GCModel.getFullGcEventPauses; com.tagtraum.perf.gcviewer.model.GCModel.getGcEventPauses; com.tagtraum.perf.gcviewer.math.DoubleData.getN; com.tagtraum.perf.gcviewer.model.GCModel.getConcurrentEventPauses
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseJdk17,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,parseJdk17,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.GCModel.getVmOperationPause; com.tagtraum.perf.gcviewer.model.GCModel.size; com.tagtraum.perf.gcviewer.model.GCModel.getFullGcEventPauses; com.tagtraum.perf.gcviewer.model.GCModel.getGcEventPauses; com.tagtraum.perf.gcviewer.math.DoubleData.getN; com.tagtraum.perf.gcviewer.model.GCModel.getConcurrentEventPauses
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentReset,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentReset,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTotal; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getExtendedType; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.isConcurrentCollectionStart; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseInitMark,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 7
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseInitMark,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.GCModel.size; com.tagtraum.perf.gcviewer.util.DateHelper.parseDate; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getExtendedType; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPreUsed; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getDatestamp; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.isInitialMark
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentMarkingRoots,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentMarkingRoots,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTotal; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getExtendedType; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentMarking,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentMarking,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTotal; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getExtendedType; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentPrecleaning,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentPrecleaning,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTotal; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getExtendedType; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseFinalMark,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseFinalMark,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.GCModel.size; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPreUsed; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.isRemark
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentThreadRoots,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentThreadRoots,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTotal; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getExtendedType; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentWeakReferences,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentWeakReferences,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTotal; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getExtendedType; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentWeakRoots,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentWeakRoots,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTotal; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getExtendedType; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentCleanup,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentCleanup,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTotal; com.tagtraum.perf.gcviewer.model.GCModel.size; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.isConcurrentCollectionEnd; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPreUsed
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentClassUnloading,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentClassUnloading,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTotal; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getExtendedType; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentStrongRoots,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentStrongRoots,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTotal; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getExtendedType; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentEvacuation,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentEvacuation,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTotal; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getExtendedType; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseInitUpdateRefs,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseInitUpdateRefs,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.GCModel.size; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPreUsed
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentUpdateRefs,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentUpdateRefs,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTotal; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getExtendedType; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPreUsed
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentUpdateThreadRoots,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentUpdateThreadRoots,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTotal; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getExtendedType; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseFinalUpdateRefs,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseFinalUpdateRefs,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.GCModel.size; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPreUsed
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseFinalRoots,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseFinalRoots,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.GCModel.size; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getExtendedType; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPreUsed
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentUncommit,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 4
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testConcurrentUncommit,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.GCModel.size; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPreUsed
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseDegeneratedGc,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 6
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testPauseDegeneratedGc,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTotal; com.tagtraum.perf.gcviewer.model.GCModel.size; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getTypeAsString; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPreUsed; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPostUsed
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testParseFullGcWithPhases,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 5
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderUJLShenandoah,testParseFullGcWithPhases,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.tagtraum.perf.gcviewer.model.GCModel.getGcEventPhases; com.tagtraum.perf.gcviewer.model.GCModel.size; com.tagtraum.perf.gcviewer.math.DoubleData.getSum; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getExtendedType; com.tagtraum.perf.gcviewer.model.AbstractGCEvent.getPause; com.tagtraum.perf.gcviewer.model.GCModel.get
GCViewer,com.tagtraum.perf.gcviewer.imp,TestDataReaderJRockit1_6_0,testGcPrioPauseSingleParCon,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 8
